id,description,location,latitude,longitude,service,delivery,skills,time_window_start,time_window_end
126107-182,"126107|ULSD Dyed","33.416079, -111.999996",33.416079,-111.999996,2040,"[0,669]","",2025-07-16 05:00:00,2025-07-16 07:00:00
126228-183,"126228|ULSD Clear","33.4429001, -111.9662533",33.4429001,-111.9662533,5580,"[0,0]","",2025-07-16 00:00:00,2025-07-17 00:00:00
128445-184,"128445|ULSD Dyed","33.294004, -111.590826",33.294004,-111.590826,2940,"[0,294]","",2025-07-16 06:00:00,2025-07-16 10:00:00
129205-185,"129205|ULSD Clear","33.52817, -112.407208",33.52817,-112.407208,1320,"[110,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
135511-186,"135511|ULSD Dyed","33.6548442, -112.1119259",33.6548442,-112.1119259,480,"[0,36]","",2025-07-16 07:00:00,2025-07-16 15:00:00
149786-187,"149786|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,2040,"[0,574]","",2025-07-16 12:00:00,2025-07-17 12:00:00
154403-188,"154403|ULSD Dyed","33.571147, -111.952856",33.571147,-111.952856,3540,"[0,118]","",2025-07-16 07:00:00,2025-07-16 12:30:00
158052-189,"158052|ULSD Clear","33.466268, -112.5013",33.466268,-112.5013,5340,"[34,0]","",2025-07-16 00:00:00,2025-07-17 00:00:00
158239-190,"158239|ULSD Dyed","33.364623, -111.878338",33.364623,-111.878338,1380,"[0,155]","",2025-07-16 08:00:00,2025-07-16 16:00:00
169851-191,"169851|ULSD Dyed","33.4307315, -111.9495144",33.4307315,-111.9495144,1020,"[0,20]","",2025-07-16 08:00:00,2025-07-16 16:00:00
62623-192,"62623|ULSD Clear","33.456581, -112.317345",33.456581,-112.317345,6480,"[961,0]","",2025-07-16 04:00:00,2025-07-16 06:00:00
62627-193,"62627|ULSD Clear","33.44185, -112.245241",33.44185,-112.245241,7800,"[525,0]","",2025-07-16 10:30:00,2025-07-16 11:30:00
62852-194,"62852|ULSD Clear","33.446077, -112.165334",33.446077,-112.165334,6480,"[922,0]","",2025-07-16 18:00:00,2025-07-16 22:00:00
121747-195,"121747|ULSD Clear","33.456956, -112.098899",33.456956,-112.098899,1440,"[217,0]","",2025-07-16 20:30:00,2025-07-17 20:30:00
124520-196,"124520|ULSD Clear","33.442564, -112.173494",33.442564,-112.173494,6420,"[351,0]","",2025-07-16 12:00:00,2025-07-16 16:00:00
124942-197,"124942|ULSD Clear","33.457715, -112.233126",33.457715,-112.233126,2760,"[270,0]","",2025-07-16 06:00:00,2025-07-16 17:00:00
126147-198,"126147|ULSD Dyed","33.29173, -111.958584",33.29173,-111.958584,3960,"[0,159]","",2025-07-16 08:00:00,2025-07-16 16:00:00
126227-199,"126227|ULSD Clear","33.40426, -111.997068",33.40426,-111.997068,1500,"[30,0]","",2025-07-16 17:00:00,2025-07-17 17:00:00
126633-200,"126633|ULSD Clear","33.279572, -111.774229",33.279572,-111.774229,1020,"[175,0]","",2025-07-16 14:30:00,2025-07-17 14:30:00
129195-201,"129195|ULSD Clear","33.417057, -112.184309",33.417057,-112.184309,1320,"[71,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
143056-202,"143056|ULSD Dyed","33.456675, -111.9731571",33.456675,-111.9731571,3360,"[0,421]","",2025-07-16 12:00:00,2025-07-17 12:00:00
160486-203,"160486|ULSD Dyed","33.353657, -111.79007",33.353657,-111.79007,19020,"[0,737]","",2025-07-16 00:00:00,2025-07-17 00:00:00
161552-204,"161552|ULSD Dyed","33.7759795, -112.1604877",33.7759795,-112.1604877,5880,"[0,1023]","",2025-07-16 12:00:00,2025-07-17 12:00:00
172521-205,"172521|ULSD Dyed","33.61276, -112.096994",33.61276,-112.096994,960,"[0,32]","",2025-07-16 08:00:00,2025-07-16 16:00:00
172653-206,"172653|ULSD Dyed","33.367186, -111.788765",33.367186,-111.788765,1800,"[0,640]","",2025-07-16 08:00:00,2025-07-16 16:00:00
63071-207,"63071|ULSD Dyed","33.438126, -112.218645",33.438126,-112.218645,1020,"[0,55]","",2025-07-16 02:00:00,2025-07-16 10:00:00
65545-208,"65545|ULSD Clear","33.425376, -112.167648",33.425376,-112.167648,2580,"[328,0]","",2025-07-16 18:00:00,2025-07-17 18:00:00
124547-209,"124547|ULSD Clear","33.4892588, -112.1299958",33.4892588,-112.1299958,1320,"[365,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
124557-210,"124557|ULSD Clear","33.47388, -112.1105999",33.47388,-112.1105999,7620,"[679,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
126106-211,"126106|ULSD Clear","33.5515337, -112.2026333",33.5515337,-112.2026333,1800,"[181,0]","",2025-07-16 17:00:00,2025-07-17 17:00:00
126228-212,"126228|ULSD Clear","33.4429001, -111.9662533",33.4429001,-111.9662533,5580,"[960,0]","",2025-07-16 00:00:00,2025-07-17 00:00:00
126506-213,"126506|ULSD Dyed","33.362187, -111.834039",33.362187,-111.834039,2820,"[0,102]","",2025-07-16 15:00:00,2025-07-17 15:00:00
127131-214,"127131|DEF","33.4791109, -112.4604723",33.4791109,-112.4604723,1200,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
127712-215,"127712|ULSD Clear","33.36495, -111.944366",33.36495,-111.944366,5100,"[380,0]","",2025-07-16 17:00:00,2025-07-17 17:00:00
128138-216,"128138|ULSD Clear","33.438533, -112.370686",33.438533,-112.370686,1320,"[79,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
128722-217,"128722|ULSD Clear","33.6313896, -112.3383046",33.6313896,-112.3383046,3780,"[726,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
145024-218,"145024|ULSD Dyed","33.267207, -111.8882177",33.267207,-111.8882177,600,"[0,60]","",2025-07-16 06:00:00,2025-07-16 14:00:00
149442-219,"149442|ULSD Dyed","33.4137854, -112.3730374",33.4137854,-112.3730374,1680,"[0,220]","",2025-07-16 12:00:00,2025-07-17 12:00:00
149442-220,"149442|ULSD Clear","33.4137854, -112.3730374",33.4137854,-112.3730374,420,"[195,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
158360-221,"158360|ULSD Dyed","33.4546382, -112.0735104",33.4546382,-112.0735104,3780,"[0,127]","",2025-07-16 05:00:00,2025-07-16 17:00:00
158382-222,"158382|ULSD Clear","33.3763745, -111.7043554",33.3763745,-111.7043554,540,"[155,0]","",2025-07-16 00:00:00,2025-07-17 00:00:00
159952-223,"159952|DEF","33.420339, -112.184674",33.420339,-112.184674,780,"[0,0]","",2025-07-16 15:00:00,2025-07-16 20:00:00
170914-224,"170914|ULSD Dyed","33.392832, -111.5979173",33.392832,-111.5979173,2580,"[0,387]","",2025-07-16 08:00:00,2025-07-16 16:00:00
62622-225,"62622|ULSD Dyed","33.389963, -112.15485",33.389963,-112.15485,6840,"[0,36]","",2025-07-16 11:00:00,2025-07-16 21:00:00
124548-226,"124548|ULSD Dyed","33.479124, -112.124564",33.479124,-112.124564,1020,"[0,72]","",2025-07-16 19:00:00,2025-07-17 19:00:00
124909-227,"124909|ULSD Clear","33.4388611, -112.055628",33.4388611,-112.055628,1080,"[162,0]","",2025-07-16 21:00:00,2025-07-17 21:00:00
124910-228,"124910|ULSD Clear","33.4598, -112.2228999",33.4598,-112.2228999,8340,"[250,0]","",2025-07-16 07:00:00,2025-07-17 07:00:00
126017-229,"126017|ULSD Clear","33.4456442, -112.0177775",33.4456442,-112.0177775,6240,"[562,0]","",2025-07-16 14:00:00,2025-07-16 22:00:00
126107-230,"126107|ULSD Clear","33.416079, -111.999996",33.416079,-111.999996,3780,"[300,0]","",2025-07-16 05:00:00,2025-07-16 07:00:00
126997-231,"126997|ULSD Dyed","33.4106566, -111.8505337",33.4106566,-111.8505337,2220,"[0,23]","",2025-07-16 08:00:00,2025-07-16 16:00:00
127255-232,"127255|ULSD Dyed","33.241512, -111.882407",33.241512,-111.882407,300,"[0,14]","",2025-07-16 04:30:00,2025-07-16 16:00:00
138237-233,"138237|ULSD Dyed","33.6548442, -112.1119259",33.6548442,-112.1119259,1140,"[0,29]","",2025-07-16 12:00:00,2025-07-17 12:00:00
160440-234,"160440|ULSD Dyed","33.7983425, -112.1676814",33.7983425,-112.1676814,660,"[0,14]","",2025-07-16 08:00:00,2025-07-16 16:00:00
163108-235,"163108|ULSD Dyed","33.5826859, -112.2549871",33.5826859,-112.2549871,300,"[0,20]","",2025-07-16 08:00:00,2025-07-16 16:00:00
172781-236,"172781|ULSD Dyed","33.4195636, -112.268496",33.4195636,-112.268496,300,"[0,32]","",2025-07-16 00:00:00,2025-07-17 00:00:00
62618-237,"62618|ULSD Clear","33.443439, -112.143965",33.443439,-112.143965,1980,"[413,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
81840-238,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,600,"[30,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-239,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,180,"[16,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
81840-240,"81840|ULSD Clear","33.436107, -112.161449",33.436107,-112.161449,300,"[35,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124548-241,"124548|ULSD Dyed","33.479124, -112.124564",33.479124,-112.124564,5280,"[0,96]","",2025-07-16 19:00:00,2025-07-17 19:00:00
126264-242,"126264|ULSD Clear","33.402347, -111.9513",33.402347,-111.9513,4620,"[380,0]","",2025-07-16 21:00:00,2025-07-17 21:00:00
142385-243,"142385|ULSD Dyed","33.4137854, -112.3730374",33.4137854,-112.3730374,2160,"[0,1067]","",2025-07-16 12:00:00,2025-07-17 12:00:00
149971-244,"149971|ULSD Clear","33.502528, -112.430981",33.502528,-112.430981,1200,"[56,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
152646-245,"152646|ULSD Clear","33.7759795, -112.1604877",33.7759795,-112.1604877,480,"[27,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
158720-246,"158720|ULSD Dyed","33.293379, -111.567631",33.293379,-111.567631,660,"[0,192]","",2025-07-16 12:00:00,2025-07-17 12:00:00
160328-247,"160328|ULSD Dyed","33.293379, -111.567631",33.293379,-111.567631,480,"[0,238]","",2025-07-16 00:00:00,2025-07-17 00:00:00
161839-248,"161839|ULSD Dyed","33.4456915, -111.9119056",33.4456915,-111.9119056,1080,"[0,43]","",2025-07-16 08:00:00,2025-07-16 16:00:00
171220-249,"171220|ULSD Dyed","33.70039, -112.0671999",33.70039,-112.0671999,2160,"[0,253]","",2025-07-16 08:00:00,2025-07-16 16:00:00
173354-250,"173354|ULSD Dyed","33.7691528, -112.1172337",33.7691528,-112.1172337,1140,"[0,40]","",2025-07-16 08:00:00,2025-07-16 16:00:00
172208-251,"172208|ULSD Clear","33.465732, -112.073819",33.465732,-112.073819,7200,"[42,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
172208-252,"172208|ULSD Dyed","33.465732, -112.073819",33.465732,-112.073819,7080,"[0,122]","",2025-07-16 08:00:00,2025-07-16 16:00:00
172329-253,"172329|ULSD Dyed","33.536738, -112.106059",33.536738,-112.106059,1740,"[0,20]","",2025-07-16 08:00:00,2025-07-16 16:00:00
155577-254,"155577|ULSD Clear","33.413773, -111.990348",33.413773,-111.990348,1740,"[81,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
155577-255,"155577|ULSD Clear","33.413773, -111.990348",33.413773,-111.990348,3660,"[658,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
160860-256,"160860|ULSD Dyed","33.3670208, -112.062397",33.3670208,-112.062397,2220,"[0,24]","",2025-07-16 08:00:00,2025-07-16 16:00:00
171842-257,"171842|ULSD Dyed","33.4483169, -112.0764899",33.4483169,-112.0764899,4140,"[0,350]","",2025-07-16 12:00:00,2025-07-17 12:00:00
172515-258,"172515|ULSD Dyed","33.636057, -111.938516",33.636057,-111.938516,2040,"[0,39]","",2025-07-16 08:00:00,2025-07-16 16:00:00
170817-259,"170817|ULSD Dyed","33.441863, -112.047375",33.441863,-112.047375,1620,"[0,41]","",2025-07-16 08:00:00,2025-07-16 16:00:00
172475-260,"172475|ULSD Dyed","33.501852, -112.157046",33.501852,-112.157046,8040,"[0,514]","",2025-07-16 16:00:00,2025-07-17 16:00:00
173030-261,"173030|ULSD Dyed","33.50824, -112.4466514",33.50824,-112.4466514,7020,"[0,1338]","",2025-07-16 12:00:00,2025-07-17 12:00:00
154760-262,"154760|ULSD Dyed","33.335837, -111.65612",33.335837,-111.65612,840,"[0,325]","",2025-07-16 12:00:00,2025-07-17 12:00:00
157500-263,"157500|ULSD Dyed","33.694937, -112.401683",33.694937,-112.401683,2340,"[0,98]","",2025-07-16 00:00:00,2025-07-17 00:00:00
160738-264,"160738|ULSD Dyed","33.4151617, -112.3704762",33.4151617,-112.3704762,1560,"[0,376]","",2025-07-16 12:00:00,2025-07-17 12:00:00
166613-265,"166613|ULSD Clear","33.4280505, -111.9752808",33.4280505,-111.9752808,3720,"[178,0]","",2025-07-16 20:00:00,2025-07-17 20:00:00
172123-266,"172123|ULSD Dyed","33.4718768, -111.7183282",33.4718768,-111.7183282,4080,"[0,759]","",2025-07-16 00:00:00,2025-07-17 00:00:00
159583-267,"159583|ULSD Dyed","33.6760344, -111.9694574",33.6760344,-111.9694574,2340,"[0,210]","",2025-07-16 08:00:00,2025-07-16 16:00:00
161973-268,"161973|ULSD Clear","33.378309, -112.183636",33.378309,-112.183636,5040,"[17,0]","",2025-07-16 18:00:00,2025-07-17 18:00:00
172328-269,"172328|ULSD Dyed","33.595808, -112.136593",33.595808,-112.136593,1560,"[0,23]","",2025-07-16 08:00:00,2025-07-16 16:00:00
61350-270,"61350|ULSD Clear","33.4213134, -112.1760875",33.4213134,-112.1760875,960,"[76,0]","",2025-07-16 08:00:00,2025-07-16 10:00:00
121746-271,"121746|ULSD Clear","33.45199, -112.1548",33.45199,-112.1548,5400,"[647,0]","",2025-07-16 17:00:00,2025-07-16 20:00:00
124543-272,"124543|ULSD Dyed","33.500165, -112.159167",33.500165,-112.159167,6000,"[0,325]","",2025-07-16 08:00:00,2025-07-16 16:00:00
124561-273,"124561|ULSD Clear","33.4993526, -112.1407683",33.4993526,-112.1407683,2280,"[350,0]","",2025-07-16 18:00:00,2025-07-17 18:00:00
125454-274,"125454|ULSD Clear","33.4598, -112.2228999",33.4598,-112.2228999,8340,"[410,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
125948-275,"125948|ULSD Clear","33.5480303, -112.219023",33.5480303,-112.219023,2760,"[434,0]","",2025-07-16 19:00:00,2025-07-17 19:00:00
126025-276,"126025|ULSD Clear","33.560605, -112.218089",33.560605,-112.218089,7860,"[585,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
128695-277,"128695|ULSD Clear","33.559557, -112.345455",33.559557,-112.345455,3480,"[985,0]","",2025-07-16 18:30:00,2025-07-17 18:30:00
129200-278,"129200|DEF","33.441249, -112.372212",33.441249,-112.372212,300,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
129523-279,"129523|ULSD Dyed","33.420034, -111.982926",33.420034,-111.982926,4620,"[0,36]","",2025-07-16 07:00:00,2025-07-17 07:00:00
129856-280,"129856|ULSD Clear","33.352171, -111.648852",33.352171,-111.648852,600,"[55,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
130101-281,"130101|ULSD Dyed","33.5094978, -112.1169796",33.5094978,-112.1169796,3600,"[0,201]","",2025-07-16 12:00:00,2025-07-17 12:00:00
147556-282,"147556|ULSD Dyed","33.2936913, -111.563238",33.2936913,-111.563238,5280,"[0,1596]","",2025-07-16 07:00:00,2025-07-16 16:00:00
148149-283,"148149|ULSD Dyed","33.4622802, -111.9987792",33.4622802,-111.9987792,420,"[0,421]","",2025-07-16 08:00:00,2025-07-16 16:00:00
152758-284,"152758|DEF","33.5514596, -112.383371",33.5514596,-112.383371,420,"[0,0]","",2025-07-16 08:00:00,2025-07-16 16:00:00
154635-285,"154635|DEF","33.522662, -112.442456",33.522662,-112.442456,5040,"[0,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
158452-286,"158452|ULSD Dyed","33.582229, -111.944216",33.582229,-111.944216,2880,"[0,190]","",2025-07-16 00:00:00,2025-07-17 00:00:00
158452-287,"158452|ULSD Clear","33.582229, -111.944216",33.582229,-111.944216,2040,"[27,0]","",2025-07-16 00:00:00,2025-07-17 00:00:00
161973-288,"161973|ULSD Dyed","33.378309, -112.183636",33.378309,-112.183636,4980,"[0,373]","",2025-07-16 18:00:00,2025-07-17 18:00:00
162254-289,"162254|ULSD Dyed","33.4257916, -112.0780673",33.4257916,-112.0780673,2520,"[0,168]","",2025-07-16 08:00:00,2025-07-16 16:00:00
163128-290,"163128|ULSD Clear","33.542224, -112.400233",33.542224,-112.400233,1140,"[196,0]","",2025-07-16 12:00:00,2025-07-17 12:00:00
163133-291,"163133|ULSD Dyed","33.39013, -112.270956",33.39013,-112.270956,240,"[0,48]","",2025-07-16 08:00:00,2025-07-16 16:00:00
172123-292,"172123|ULSD Dyed","33.4718768, -111.7183282",33.4718768,-111.7183282,780,"[0,380]","",2025-07-16 00:00:00,2025-07-17 00:00:00
172354-293,"172354|ULSD Dyed","33.653359, -111.8784484",33.653359,-111.8784484,5100,"[0,212]","",2025-07-16 08:00:00,2025-07-16 16:00:00
